Part_ID, Word_RT_Mean, Word_SD, Word_Acc, Word_Eff, Pic_RT_Mean, Pic_SD, Pic_Acc, Pic_Eff, Easy_RT_Mean, Easy_SD, Easy_Acc, Easy_Eff, Hard_RT_Mean, Hard_SD, Hard_Acc, Hard_Eff
48, 0.4946, 0.13, 68.42, 0.72, 0.5694, 0.13, 90.00, 0.63, 0.5150,         0.14, 65.00, 0.79, 0.5024, 0.17, 52.38, 0.96
49, 0.4923, 0.10, 100.00, 0.49, 0.5307, 0.11, 100.00, 0.53, 0.5257,         0.11, 100.00, 0.53, 0.5555, 0.12, 84.21, 0.66
4, 0.5894, 0.10, 92.11, 0.64, 0.5901, 0.11, 92.50, 0.64, 0.6137,         0.11, 100.00, 0.61, 0.5832, 0.13, 90.00, 0.65
50, 0.5387, 0.08, 87.50, 0.62, 0.5265, 0.07, 92.50, 0.57, 0.5344,         0.10, 90.00, 0.59, 0.5579, 0.12, 89.47, 0.62
51, 0.6624, 0.14, 89.47, 0.74, 0.6719, 0.13, 95.00, 0.71, 0.5824,         0.11, 100.00, 0.58, 0.5875, 0.12, 68.42, 0.86
5, 0.4724, 0.12, 47.50, 0.99, 0.5076, 0.11, 64.10, 0.79, 0.4432,         0.12, 45.00, 0.98, 0.4009, 0.11, 20.00, 2.00
6, 0.4412, 0.07, 78.95, 0.56, 0.4035, 0.05, 90.00, 0.45, 0.3794,         0.06, 80.95, 0.47, 0.3795, 0.08, 84.21, 0.45
7, 0.4979, 0.11, 82.05, 0.61, 0.5032, 0.12, 92.50, 0.54, 0.3900,         0.10, 84.21, 0.46, 0.4616, 0.14, 57.89, 0.80
8, 0.5852, 0.09, 78.95, 0.74, 0.6294, 0.10, 90.00, 0.70, 0.5768,         0.10, 100.00, 0.58, 0.6035, 0.11, 85.00, 0.71
9, 0.5392, 0.19, 52.50, 1.03, 0.6005, 0.20, 74.36, 0.81, 0.5129,         0.19, 72.22, 0.71, 0.5178, 0.17, 61.90, 0.84

z Scores 
ID, z_RT_word, z_RT_pic, z_RT_easy, z_RT_hard, z_ACC_word, z_ACC_pic, z_ACC_easy, z_ACC_hard, z_EFF_word, z_EFF_pic, z_EFF_easy, z_EFF_hard 
1, -1.145, -1.100, -0.744, -0.232, 0.341, -0.291, 0.214, -0.279, -0.997, -0.777,     -0.512, -0.134 
2, -0.051, -0.564, -1.011, -0.717, 0.341, 1.112, 1.157, 1.102, -0.460, -1.249,     -0.908, -0.836 
3, -1.056, -0.703, -0.778, -0.901, -0.553, -0.335, 0.214, -0.185, -0.190, -0.402,     -0.523, -0.390 
4, 0.092, -0.265, 1.511, 2.174, 0.137, 1.104, -2.931, -1.691, -0.216, -1.021,     4.851, 2.436 
5, 2.185, 1.240, 0.467, 0.430, 0.137, 0.592, 0.528, 0.003, 0.846, 0.484,     -0.261, -0.097 
6, -0.127, 0.466, 0.344, -0.310, 0.981, 0.270, -0.337, 0.285, -0.965, 0.115,     0.137, -0.444 
7, 0.412, -0.229, -0.420, -0.272, 0.782, -0.852, 0.214, 0.568, -0.582, 0.448,     -0.407, -0.550 
8, 0.210, -0.212, -0.055, -0.381, -0.122, -0.796, -0.415, 0.003, 0.084, 0.413,     0.036, -0.331 
9, 0.022, 0.953, 0.082, -0.677, 1.979, 1.112, 0.588, -0.499, -1.488, -0.115,     -0.403, -0.143 
10, -0.361, 0.101, 0.176, 0.395, -0.816, -0.852, -0.835, 0.211, 0.502, 0.750,     0.404, -0.217 
11, 0.894, 0.131, 0.559, 0.472, 0.546, 0.831, 0.161, 0.890, -0.172, -0.549,     -0.061, -0.491 
12, -0.130, 0.619, 0.951, 0.330, -0.416, 1.112, -0.101, -0.844, 0.194, -0.365,     0.213, 0.467 
